Feature,Coefficient
Intercept,0.0002460509504826406
Open,9.114981293065078e-05
High,0.007104717990644058
Low,-0.0052974860953513185
Close,0.003981625793305249
Volume,-0.0004504074998694749
Dividends,1.7726705520137997e-17
Stock Splits,5.142370904098748e-16
Lagged_Return_1,-0.006455443617015592
Lagged_Return_2,-0.010304739853828213
Lagged_Return_3,-0.009473104536792247
Lagged_Return_4,-0.00852908492550517
Lagged_Return_5,-0.005702245580386633
Lagged_Return_6,-0.00917733286482883
Lagged_Return_7,-0.009514890184103099
Lagged_Return_8,-0.009821722232791753
Lagged_Return_9,-0.010132490331537463
Lagged_Return_10,-0.001712775992941073
Lagged_Return_11,0.00297239703483395
Lagged_Return_12,0.0027215357364700253
Lagged_Return_13,0.0023646421828613607
Lagged_Return_14,0.002090915396903946
Lagged_Return_15,0.0018365452782460527
Lagged_Return_16,0.0015134004194915533
Lagged_Return_17,0.001267468056761319
Lagged_Return_18,0.0009719645516672688
Lagged_Return_19,0.0007204943555982725
Lagged_Return_20,6.712015810815639e-05
Lagged_Return_21,-0.0027635493792975497
MA_5,-0.017795658962892324
MA_10,0.004179842555604741
MA_20,0.0031821970286439235
MA_50,0.00526233906630581
MA_100,0.00027853025269780114
STD_5,5.2430623804595664e-05
STD_10,-0.0007078741845207128
STD_20,-0.0001784602758075418
STD_50,0.0001679052216630476
STD_100,0.00020128678039184464
RSI_14,-8.745448268360104e-05
RSI_28,-3.912978425189666e-05
RSI_42,8.059196665078858e-05
RSI_56,0.00011593144072967205
RSI_70,-0.00023083079675914
Momentum_10,0.04374478232615286
Momentum_20,-0.0020606836148557334
Momentum_60,-0.00021976145580782525
Volume_MA_5,0.0006649879544693036
Volume_MA_10,0.00048452254328374116
Volume_MA_20,-0.00012073209007906793
Volume_MA_50,-0.0009212441147123953
Open_Close_Ratio,0.00017199645188360497
High_Low_Ratio,3.280626562426718e-05
Month,0.00012164897811378032
Quarter,-0.00011988749784657066
Day_of_Week,4.2164460023545215e-05
Momentum_10_MA_5,0.00030627740679936
Momentum_20_MA_10,-0.001200760004489941
Momentum_60_MA_20,0.0002310336332268124
RSI_14_STD_20,0.0002814030315493113
RSI_28_STD_50,4.4289319772240245e-06
RSI_42_STD_100,-7.59247279366734e-06
MA_5_over_STD_5,2.9964640795819564e-06
MA_10_over_STD_10,-7.728838860953258e-05
MA_20_over_STD_20,-4.551569590787114e-05
MA_5_over_MA_20,-0.011615197870248619
MA_10_over_MA_50,-0.0004854818339289871
MA_20_over_MA_100,0.0005287444504960487
Lagged_Return_1_minus_Lagged_Return_5,-0.0005379338481546253
Lagged_Return_1_times_Lagged_Return_5,-0.00013303395896346578
Lagged_Return_1_minus_Lagged_Return_10,-0.003396595548443919
Lagged_Return_1_times_Lagged_Return_10,5.258013663242758e-05
Lagged_Return_1_minus_Lagged_Return_21,-0.002621442320252497
Lagged_Return_1_times_Lagged_Return_21,2.4780611380633474e-06
Lagged_Return_5_minus_Lagged_Return_10,-0.002832251518580837
Lagged_Return_5_times_Lagged_Return_10,-1.556482322237658e-05
Lagged_Return_5_minus_Lagged_Return_21,-0.0021024105296250906
Lagged_Return_5_times_Lagged_Return_21,-1.412837398285442e-05
Lagged_Return_10_minus_Lagged_Return_21,0.0007481405450836028
Lagged_Return_10_times_Lagged_Return_21,3.782684453227086e-05
Month_times_Close,2.590648292166535e-05
Quarter_times_Open,-3.8714001979595764e-05
Day_of_Week_times_High,-2.1765139784552835e-05
